Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,3.811,3.736,3.565,3.641,3.664,3.697,3.857,3.935,4.174,4.175,4.467,4.146
2011,4.417,4.218,4.642,5.101,5.129,5.234,5.547,5.766,5.651,5.511,5.636,5.437
2012,5.497,5.382,5.558,5.513,5.596,5.582,5.723,5.693,5.693,5.888,6.066,5.921
2013,5.902,5.742,6.014,5.674,5.678,5.588,5.394,5.214,5.091,5.149,5.04,4.948
2014,5.025,5.002,5.005,5.204,5.153,4.67,5.099,5.167,5.215,5.032,4.713,4.59
2015,4.738,4.91,4.827,4.99,4.715,4.686,4.79,4.808,4.669,4.609,4.412,4.486
2016,4.498,4.447,4.405,4.428,4.443,4.481,4.428,4.316,4.372,4.309,4.306,4.281
2017,4.468,4.583,4.65,4.622,4.597,4.545,4.335,4.373,4.323,4.327,4.324,4.285
2018,4.291,4.267,4.343,4.313,4.294,,,,4.306,,,
2019,,,,,,,,,,4.174,4.197,4.053
2020,4.174,4.25,,,,,,,,,,
